t	r		Fi		V		Teta		W		Alfa		q		nx		ny		h

66	6405945.614949	0.001793	1341.866061	1.068874	2045.764422	-0.171146	8090.385070	4.302843	-0.751119	34945.61
67	6407133.815421	0.001896	1375.552134	1.060046	2088.981443	-0.173850	7193.281566	4.364130	-0.772217	36133.82
68	6408345.747413	0.002003	1409.870818	1.051237	2132.775250	-0.176570	6372.415919	4.426928	-0.794034	37345.75
69	6409581.588889	0.002114	1444.836920	1.042447	2177.164029	-0.167668	5624.646186	4.491306	-0.763603	38581.59
70	6410841.688637	0.002230	1480.555119	1.034030	2222.164448	-0.159135	4946.944481	4.557340	-0.734201	39841.69
71	6412126.575490	0.002350	1517.036727	1.025969	2267.796747	-0.150954	4335.072281	4.625111	-0.705768	41126.58
72	6413436.791278	0.002475	1554.294268	1.018248	2314.081825	-0.143108	3784.772448	4.694705	-0.678246	42436.79
73	6414772.891609	0.002605	1592.341506	1.010851	2361.041293	-0.135581	3291.802409	4.766215	-0.651581	43772.89
74	6416135.446706	0.002739	1631.193479	1.003764	2408.697541	-0.128360	2851.966436	4.839740	-0.625721	45135.45
75	6417525.042272	0.002878	1670.866533	0.996974	2457.073795	-0.121432	2461.146214	4.915384	-0.600619	46525.04
76	6418942.280411	0.003022	1711.378366	0.990468	2506.194190	-0.114782	2115.329074	4.993258	-0.576230	47942.28
77	6420387.780590	0.003170	1752.748074	0.984233	2556.083842	-0.108398	1810.633376	5.073478	-0.552510	49387.78
78	6421862.180650	0.003324	1794.996209	0.978259	2606.768920	-0.102271	1543.330674	5.156170	-0.529419	50862.18
79	6423366.137880	0.003483	1838.144831	0.972535	2658.276734	-0.096387	1309.864422	5.241466	-0.506921	52366.14
80	6424900.330135	0.003646	1882.217583	0.967049	2710.635821	-0.090738	1106.865108	5.329506	-0.484979	53900.33
81	6426465.457029	0.003815	1927.239762	0.961794	2763.876043	-0.085314	931.161770	5.420440	-0.463559	55465.46
82	6428062.241191	0.003990	1973.238403	0.956758	2818.028685	-0.080104	779.790001	5.514427	-0.442631	57062.24
83	6429691.429596	0.004169	2020.242370	0.951935	2873.126570	-0.075102	649.996583	5.611636	-0.422164	58691.43
